Outcome,Spanning Area,Rows,Cols,Mines,Flags Placed,Mode,Duration (s),Last Move Prob,Last Move Entropy,Game Seed,State File
lose,2,16,30,99,0,Auto,1.68,0.2059,0.2059,478163327,screenshots/lose_20260317_214320_span2.txt
win,381,16,30,99,0,Auto,10.94,0,0,107420369,screenshots/win_20260317_214331_span381.txt
lose,3,16,30,99,0,Auto,1.35,0.1375,0.1375,1051802512,screenshots/lose_20260317_214335_span3.txt
lose,354,16,30,99,0,Auto,9.42,0.0437,0.0437,958682846,screenshots/lose_20260317_214345_span354.txt
win,381,16,30,99,0,Auto,9.96,0,0,440213415,screenshots/win_20260317_214358_span381.txt
win,381,16,30,99,0,Auto,9.98,0,0,440213415,screenshots/win_20260317_214358_span381.txt
win,381,16,30,99,0,Auto,10,0,0,440213415,screenshots/win_20260317_214358_span381.txt
win,381,16,30,99,0,Auto,10.01,0,0,440213415,screenshots/win_20260317_214358_span381.txt
win,381,16,30,99,0,Auto,10.02,0,0,440213415,screenshots/win_20260317_214358_span381.txt
lose,381,16,30,99,0,Auto,7.55,0.5,0.5,373399426,screenshots/lose_20260317_214406_span381.txt
lose,381,16,30,99,0,Auto,9.75,0.5,0.5,1812140441,screenshots/lose_20260317_214416_span381.txt
lose,9,16,30,99,0,Auto,1.85,0.2051,0.2051,136505587,screenshots/lose_20260317_214419_span9.txt
win,381,16,30,99,0,Auto,8.91,0.5,0.5,402418010,screenshots/win_20260317_214431_span381.txt
lose,2,16,30,99,0,Auto,1.49,0.2059,0.2059,999270936,screenshots/lose_20260317_214435_span2.txt
win,381,16,30,99,0,Auto,10.73,0,0,113971123,screenshots/win_20260317_214446_span381.txt
lose,3,16,30,99,0,Auto,1.3,0.2045,0.2045,854001193,screenshots/lose_20260317_214448_span3.txt
lose,19,16,30,99,0,Auto,1.81,0.2031,0.2031,1801823908,screenshots/lose_20260317_214451_span19.txt
lose,373,16,30,99,0,Auto,10.21,0.2317,0.2317,946785248,screenshots/lose_20260317_214502_span373.txt
lose,21,16,30,99,0,Auto,2.35,0.0862,0.0862,1929338154,screenshots/lose_20260317_214505_span21.txt
lose,346,16,30,99,0,Auto,9.35,0.2147,0.2147,1815115025,screenshots/lose_20260317_214521_span346.txt
win,381,16,30,99,0,Auto,12.33,0,0,1461364854,screenshots/win_20260317_214534_span381.txt
win,381,16,30,99,0,Auto,11.21,0,0,667779376,screenshots/win_20260317_214548_span381.txt
lose,2,16,30,99,0,Auto,1.1,0.2038,0.2038,1445662585,screenshots/lose_20260317_214554_span2.txt
lose,3,16,30,99,0,Auto,1.62,0.2041,0.2041,438989805,screenshots/lose_20260317_214557_span3.txt
lose,347,16,30,99,0,Auto,10.1,0.1747,0.1747,398340369,screenshots/lose_20260317_214608_span347.txt
lose,319,16,30,99,0,Auto,12.66,0.1851,0.1851,1631775357,screenshots/lose_20260317_214622_span319.txt
lose,381,16,30,99,0,Auto,11.66,0.5,0.5,415393687,screenshots/lose_20260317_214635_span381.txt
win,381,16,30,99,0,Auto,10.24,0,0,1136108454,screenshots/win_20260317_214652_span381.txt
win,381,16,30,99,0,Auto,12.39,0,0,186618211,screenshots/win_20260317_214705_span381.txt
lose,275,16,30,99,0,Auto,7.62,0.1908,0.1908,1973214822,screenshots/lose_20260317_214713_span275.txt
lose,379,16,30,99,0,Auto,11,0.5,0.5,536124280,screenshots/lose_20260317_214725_span379.txt
win,381,16,30,99,0,Auto,10.49,0,0,1625792787,screenshots/win_20260317_214737_span381.txt
lose,23,16,30,99,0,Auto,2.44,0.0794,0.0794,338444264,screenshots/lose_20260317_214740_span23.txt
lose,2,16,30,99,0,Auto,1.17,0.2059,0.2059,1259191105,screenshots/lose_20260317_214742_span2.txt
lose,33,16,30,99,0,Auto,1.58,0.0805,0.0805,1553210608,screenshots/lose_20260317_214744_span33.txt
lose,3,16,30,99,0,Auto,1.34,0.2045,0.2045,825873196,screenshots/lose_20260317_214746_span3.txt
lose,2,16,30,99,0,Auto,1.01,0.2038,0.2038,298737106,screenshots/lose_20260317_214748_span2.txt
lose,11,16,30,99,0,Auto,2.27,0.1099,0.1099,196814233,screenshots/lose_20260317_214751_span11.txt
lose,13,16,30,99,0,Auto,2.18,0.2017,0.2017,978815630,screenshots/lose_20260317_214754_span13.txt
win,381,16,30,99,0,Auto,10.54,0.5,0.5,1242911821,screenshots/win_20260317_214806_span381.txt
lose,7,16,30,99,0,Auto,1.15,0.2043,0.2043,342703921,screenshots/lose_20260317_214808_span7.txt
win,381,16,30,99,0,Auto,9.11,0.5,0.5,999829240,screenshots/win_20260317_214817_span381.txt
lose,34,16,30,99,0,Auto,3.18,0.196,0.196,433797840,screenshots/lose_20260317_214821_span34.txt
lose,22,16,30,99,0,Auto,2.98,0.0793,0.0793,1632629719,screenshots/lose_20260317_214825_span22.txt
win,381,16,30,99,0,Auto,12.57,0,0,1947382419,screenshots/win_20260317_214840_span381.txt
win,381,16,30,99,0,Auto,12.59,0,0,1947382419,screenshots/win_20260317_214840_span381.txt
lose,2,16,30,99,0,Auto,1.13,0.2059,0.2059,1566942273,screenshots/lose_20260317_214842_span2.txt
lose,7,16,30,99,0,Auto,1.64,0.2014,0.2014,698594025,screenshots/lose_20260317_214844_span7.txt
lose,2,16,30,99,0,Auto,0.94,0.2038,0.2038,899825838,screenshots/lose_20260317_214849_span2.txt
lose,137,16,30,99,0,Auto,6.39,0.0949,0.0949,1146660997,screenshots/lose_20260317_214857_span137.txt
win,381,16,30,99,0,Auto,9.04,0.5,0.5,306671447,screenshots/win_20260317_214906_span381.txt
lose,378,16,30,99,0,Auto,11.84,0.2743,0.2743,735034881,screenshots/lose_20260317_214919_span378.txt
lose,10,16,30,99,0,Auto,1.53,0.2044,0.2044,1051454923,screenshots/lose_20260317_214921_span10.txt
lose,152,16,30,99,0,Auto,4.96,0.1887,0.1887,701808367,screenshots/lose_20260317_214927_span152.txt
lose,2,16,30,99,0,Auto,1.04,0.2038,0.2038,1985392498,screenshots/lose_20260317_214928_span2.txt
lose,380,16,30,99,0,Auto,9.85,0.5,0.5,1629748727,screenshots/lose_20260317_214939_span380.txt
lose,11,16,30,99,0,Auto,1.96,0.0282,0.0282,1159417075,screenshots/lose_20260317_214942_span11.txt
lose,2,16,30,99,0,Auto,1.13,0.2059,0.2059,943239974,screenshots/lose_20260317_214944_span2.txt
lose,4,16,30,99,0,Auto,1.52,0.1702,0.1702,1392783743,screenshots/lose_20260317_214946_span4.txt
win,381,16,30,99,0,Auto,9.75,0,0,983753977,screenshots/win_20260317_214958_span381.txt
lose,165,16,30,99,0,Auto,6,0.1836,0.1836,137869475,screenshots/lose_20260317_215005_span165.txt
win,381,16,30,99,0,Auto,8.18,0,0,1354860540,screenshots/win_20260317_215014_span381.txt
lose,41,16,30,99,0,Auto,1.44,0.1981,0.1981,1722989659,screenshots/lose_20260317_215016_span41.txt
lose,2,16,30,99,0,Auto,1.39,0.2059,0.2059,1149938334,screenshots/lose_20260317_215018_span2.txt
lose,39,16,30,99,0,Auto,2.71,0.1963,0.1963,284277889,screenshots/lose_20260317_215021_span39.txt
win,381,16,30,99,0,Auto,11.97,0,0,906164396,screenshots/win_20260317_215034_span381.txt
win,381,16,30,99,0,Auto,11.04,0,0,1351531223,screenshots/win_20260317_215046_span381.txt
win,381,16,30,99,0,Auto,10.62,0,0,913224047,screenshots/win_20260317_215057_span381.txt
win,381,16,30,99,0,Auto,10.42,0,0,2144181937,screenshots/win_20260317_215108_span381.txt
lose,28,16,30,99,0,Auto,2.95,0.0351,0.0351,1699226064,screenshots/lose_20260317_215112_span28.txt
lose,141,16,30,99,0,Auto,4.81,0.0959,0.0959,613628803,screenshots/lose_20260317_215119_span141.txt
win,381,16,30,99,0,Auto,11.7,0,0,1137651678,screenshots/win_20260317_215131_span381.txt
win,381,16,30,99,0,Auto,9.24,0,0,599707677,screenshots/win_20260317_215141_span381.txt
lose,3,16,30,99,0,Auto,1.3,0.1375,0.1375,1059257080,screenshots/lose_20260317_215143_span3.txt
win,381,16,30,99,0,Auto,9.35,0,0,1840109255,screenshots/win_20260317_215155_span381.txt
